UPI_Frequency,UPI_Spent_Monthly,UPI_Groceries,UPI_Utilities,UPI_Transport,UPI_Mobile,UPI_Rent,UPI_Ecommerce,Merchants_Paid,ATM_Withdraw_Freq,ATM_Withdraw_Amount,Loan_Repayment,RD_FD_Amount,Digital_Gold_Savings,Mutual_Fund_SIP,SHG_Contribution,Chit_Fund,Electricity_Payment_Timing,Gas_Bill,Water_Bill,DTH_Internet_Bill,EMI_Payment_Status,Shakti_Score
2,9745,1234,1394,1768,739,28927,7638,36,9,23453,0,35016,7671,3428,1990,7042,On-Time,1296,303,675,On-Time,519
2,21858,9407,1437,1950,224,23020,15263,34,3,13747,0,33959,8403,10233,1416,4132,On-Time,352,391,526,On-Time,564
1,2865,327,1374,1781,671,25196,14268,12,4,1759,0,8768,2839,13839,1794,8796,On-Time,179,846,844,Delayed,304
3,47647,1424,2604,1172,802,25217,7012,25,3,14146,0,25994,7631,14438,193,2574,On-Time,149,250,1304,On-Time,657
1,15356,282,2260,1148,770,28181,9996,6,4,26114,0,36673,5000,10847,4637,5944,On-Time,878,547,354,On-Time,345
2,24700,9426,4612,1073,670,10849,8935,39,3,10120,3586,26308,8348,4670,2625,5473,On-Time,1077,545,1620,On-Time,643
3,20879,5392,2039,397,925,8002,9041,41,6,12556,0,41186,4868,3220,2527,9661,On-Time,1491,828,633,On-Time,683
1,37649,5895,665,425,885,11876,15006,14,2,13092,0,22016,1729,5998,778,4721,Late,528,255,394,On-Time,425
3,3011,5015,2765,1578,607,14356,2308,47,3,11965,0,1187,1485,10813,102,4671,On-Time,227,824,2346,On-Time,599
3,14631,9298,779,1223,931,16372,19428,41,2,28024,0,33812,2871,7908,577,4022,On-Time,629,827,1336,On-Time,569
3,19252,775,4425,1113,742,16535,15602,30,3,7,0,47296,5018,14174,1343,4073,On-Time,309,322,813,On-Time,578
3,6040,9546,2963,1054,255,12488,15557,16,9,12527,0,23195,3139,14558,4794,8220,On-Time,1199,987,1966,On-Time,365
3,29421,1713,4433,1916,86,26203,12978,48,5,5538,0,26463,128,13406,973,378,On-Time,945,625,1195,Delayed,716
3,31765,9117,408,1643,997,20479,12556,32,8,20733,0,25234,6279,9286,3157,7564,On-Time,1133,654,542,On-Time,597
2,47388,8702,1438,1182,723,23497,15849,40,2,28148,3586,20564,7432,14620,3348,6930,On-Time,336,941,323,Delayed,804
2,12669,7700,2685,584,628,27309,19742,22,9,630,0,4765,7212,5412,2969,2820,On-Time,595,237,1754,Delayed,356
2,30827,8849,3308,831,416,21241,5847,37,7,13652,3586,30352,5506,14472,615,4934,On-Time,378,880,1630,On-Time,660
